words,"",2015,2016,ahead,amid,back,bad,bank,better,big,boost,brexit,budget,business,central,china,chinas,chinese,crisis,data,despite,digital,economic,economy,economys,eu,expected,fed,feds,first,focus,fuel,gdp,german,gig,global,good,government,grew,grow,growing,grows,growth,help,hit,imf,impact,india,indian,japan,japans,jobs,local,low,market,markets,may,minister,new,obama,oil,outlook,pct,percent,plan,policy,president,prices,quarter,rate,rates,recession,report,risks,russian,saudi,says,sees,sharing,shows,signs,slowing,slows,south,spending,state,still,stocks,strong,tax,top,trade,trump,uk,us,warns,weak,world,year,years
gig,27,2.0,4.0,2.0,2.0,1.0,1.0,0.0,3.0,13.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,7.0,2.0,9.0,7,249,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,5.0,2.0,0.0,2.0,26.0,1.0,4,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,7.0,1.0,6.0,0.0,51.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,4,0.0,35.0,3.0,0.0,0.0,0.0,0.0,1.0,7.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,9,0.0,0.0,7,1.0,12.0
global,447,133.0,145.0,62.0,121.0,75.0,22.0,208.0,24.0,34.0,45.0,61.0,19.0,90.0,113.0,214.0,206.0,97.0,189.0,108.0,139.0,10.0,730,2331,28.0,63.0,69.0,34.0,13.0,115.0,14.0,6.0,45.0,48.0,3.0,0,49.0,78.0,68.0,61.0,93.0,3.0,559,34.0,35.0,81.0,74.0,91.0,49.0,55.0,10.0,45.0,21.0,86.0,180.0,312.0,82.0,111.0,219.0,14.0,229.0,140.0,1.0,143.0,18.0,87.0,75.0,207.0,94.0,95.0,74.0,106.0,95.0,111.0,9.0,10.0,83,13.0,6.0,12.0,41.0,109.0,8.0,38.0,49.0,66.0,73.0,70.0,71.0,15.0,46.0,92.0,13.0,77.0,401,17.0,92.0,341,267.0,154.0
good,84,26.0,49.0,8.0,3.0,15.0,19.0,19.0,10.0,6.0,8.0,2.0,5.0,26.0,17.0,20.0,14.0,16.0,6.0,17.0,28.0,1.0,111,456,1.0,5.0,13.0,10.0,6.0,34.0,2.0,7.0,10.0,25.0,5.0,49,0.0,17.0,14.0,12.0,19.0,1.0,84,4.0,2.0,7.0,10.0,15.0,11.0,1.0,4.0,36.0,10.0,15.0,29.0,20.0,18.0,23.0,49.0,7.0,17.0,9.0,0.0,24.0,4.0,13.0,23.0,19.0,24.0,35.0,12.0,4.0,20.0,6.0,0.0,2.0,23,1.0,8.0,1.0,7.0,9.0,0.0,5.0,15.0,17.0,26.0,5.0,20.0,3.0,13.0,5.0,1.0,4.0,98,0.0,5.0,26,70.0,30.0
government,252,63.0,85.0,22.0,14.0,47.0,22.0,69.0,24.0,12.0,65.0,7.0,63.0,67.0,57.0,29.0,90.0,30.0,31.0,82.0,36.0,14.0,423,1227,17.0,8.0,77.0,4.0,0.0,126.0,16.0,5.0,41.0,20.0,2.0,78,17.0,0.0,107.0,46.0,35.0,6.0,227,50.0,15.0,8.0,28.0,38.0,31.0,12.0,47.0,41.0,18.0,45.0,32.0,26.0,67.0,195.0,168.0,3.0,84.0,12.0,0.0,183.0,58.0,60.0,69.0,63.0,163.0,58.0,18.0,50.0,57.0,8.0,31.0,30.0,95,4.0,11.0,12.0,35.0,25.0,4.0,27.0,134.0,57.0,21.0,5.0,21.0,44.0,52.0,24.0,5.0,26.0,95,4.0,21.0,46,201.0,102.0
grew,248,300.0,85.0,16.0,13.0,30.0,7.0,82.0,27.0,2.0,25.0,1.0,4.0,41.0,59.0,66.0,122.0,19.0,29.0,215.0,25.0,1.0,134,1193,18.0,1.0,103.0,1.0,2.0,305.0,0.0,1.0,96.0,38.0,0.0,68,14.0,107.0,0.0,16.0,30.0,0.0,304,8.0,21.0,9.0,10.0,30.0,13.0,5.0,30.0,13.0,10.0,17.0,17.0,33.0,46.0,30.0,83.0,0.0,31.0,17.0,6.0,503.0,4.0,7.0,9.0,36.0,672.0,231.0,21.0,25.0,34.0,20.0,0.0,6.0,36,2.0,1.0,9.0,26.0,25.0,2.0,28.0,123.0,20.0,21.0,7.0,49.0,4.0,7.0,42.0,1.0,49.0,181,3.0,29.0,21,391.0,159.0
grow,109,60.0,118.0,7.0,5.0,8.0,3.0,71.0,6.0,4.0,10.0,1.0,16.0,33.0,37.0,22.0,40.0,29.0,9.0,24.0,27.0,8.0,110,669,3.0,5.0,134.0,14.0,3.0,37.0,1.0,1.0,39.0,5.0,2.0,61,12.0,46.0,16.0,0.0,25.0,1.0,101,11.0,7.0,18.0,6.0,14.0,32.0,0.0,6.0,15.0,19.0,16.0,16.0,4.0,20.0,50.0,78.0,0.0,34.0,22.0,1.0,198.0,11.0,14.0,15.0,34.0,83.0,67.0,4.0,13.0,48.0,5.0,5.0,0.0,31,1.0,8.0,3.0,6.0,4.0,1.0,15.0,36.0,17.0,10.0,2.0,10.0,7.0,17.0,12.0,0.0,19.0,72,1.0,8.0,57,249.0,63.0
growing,102,48.0,45.0,7.0,16.0,19.0,3.0,23.0,15.0,10.0,10.0,5.0,7.0,28.0,22.0,53.0,39.0,20.0,6.0,44.0,39.0,4.0,128,663,3.0,3.0,33.0,5.0,1.0,49.0,2.0,2.0,27.0,5.0,26.0,93,19.0,35.0,30.0,25.0,0.0,1.0,107,3.0,5.0,7.0,12.0,89.0,24.0,8.0,5.0,38.0,7.0,19.0,40.0,15.0,25.0,43.0,78.0,2.0,18.0,10.0,0.0,78.0,2.0,12.0,24.0,19.0,80.0,60.0,15.0,22.0,24.0,7.0,1.0,2.0,39,2.0,15.0,5.0,7.0,15.0,2.0,17.0,20.0,26.0,35.0,9.0,27.0,6.0,6.0,8.0,1.0,11.0,93,2.0,12.0,78,84.0,57.0
grows,8,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,3,43,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,3,1.0,6.0,0.0,1.0,1.0,0.0,2,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,4.0,4.0,2.0,0.0,3.0,0.0,0.0,0.0,1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,4,0.0,0.0,1,3.0,1.0
growth,562,467.0,288.0,72.0,81.0,102.0,39.0,324.0,45.0,27.0,105.0,30.0,48.0,133.0,164.0,211.0,350.0,113.0,60.0,255.0,215.0,13.0,1820,2629,83.0,33.0,267.0,35.0,13.0,360.0,25.0,14.0,227.0,89.0,4.0,559,84.0,227.0,304.0,101.0,107.0,2.0,0,41.0,48.0,57.0,43.0,86.0,88.0,35.0,27.0,131.0,25.0,123.0,133.0,108.0,174.0,154.0,314.0,14.0,142.0,144.0,3.0,571.0,29.0,99.0,105.0,152.0,614.0,413.0,125.0,99.0,159.0,74.0,28.0,13.0,122,10.0,18.0,25.0,89.0,198.0,16.0,71.0,205.0,76.0,111.0,32.0,170.0,38.0,59.0,92.0,5.0,101.0,529,8.0,116.0,266,803.0,357.0
help,75,10.0,12.0,2.0,6.0,4.0,1.0,30.0,10.0,5.0,49.0,1.0,10.0,17.0,18.0,16.0,22.0,4.0,15.0,11.0,3.0,10.0,95,348,1.0,1.0,9.0,2.0,1.0,14.0,3.0,6.0,2.0,1.0,2.0,34,4.0,50.0,8.0,11.0,3.0,2.0,41,0.0,1.0,4.0,1.0,6.0,4.0,5.0,6.0,15.0,12.0,20.0,17.0,10.0,24.0,54.0,48.0,8.0,26.0,3.0,0.0,13.0,23.0,10.0,13.0,17.0,8.0,11.0,21.0,2.0,10.0,5.0,6.0,6.0,24,0.0,13.0,1.0,4.0,9.0,0.0,7.0,25.0,8.0,11.0,5.0,7.0,14.0,2.0,11.0,0.0,7.0,51,5.0,2.0,22,39.0,19.0
hit,55,21.0,14.0,4.0,2.0,8.0,2.0,33.0,0.0,11.0,8.0,22.0,4.0,5.0,23.0,30.0,22.0,4.0,16.0,15.0,10.0,0.0,80,289,0.0,13.0,16.0,1.0,0.0,14.0,0.0,5.0,5.0,7.0,1.0,35,2.0,15.0,21.0,7.0,5.0,0.0,48,1.0,0.0,12.0,10.0,8.0,2.0,6.0,1.0,9.0,5.0,25.0,15.0,20.0,6.0,13.0,40.0,0.0,51.0,1.0,0.0,32.0,0.0,5.0,9.0,57.0,20.0,17.0,6.0,14.0,9.0,1.0,6.0,1.0,13,0.0,1.0,4.0,7.0,4.0,1.0,6.0,13.0,11.0,7.0,6.0,6.0,3.0,1.0,3.0,0.0,11.0,43,0.0,11.0,38,49.0,27.0
imf,40,16.0,21.0,3.0,0.0,1.0,3.0,14.0,1.0,0.0,11.0,21.0,3.0,2.0,6.0,15.0,7.0,11.0,11.0,3.0,5.0,0.0,57,197,4.0,18.0,13.0,1.0,1.0,1.0,0.0,0.0,7.0,4.0,0.0,81,7.0,8.0,9.0,18.0,7.0,0.0,57,4.0,12.0,0.0,3.0,9.0,9.0,1.0,0.0,0.0,0.0,12.0,8.0,12.0,4.0,7.0,6.0,0.0,13.0,17.0,0.0,42.0,1.0,9.0,2.0,17.0,0.0,2.0,14.0,12.0,16.0,16.0,1.0,1.0,15,6.0,0.0,1.0,0.0,8.0,1.0,2.0,0.0,6.0,6.0,0.0,1.0,2.0,3.0,8.0,0.0,10.0,11,4.0,4.0,44,30.0,14.0
impact,78,23.0,18.0,4.0,2.0,3.0,1.0,36.0,3.0,14.0,5.0,45.0,13.0,32.0,20.0,15.0,17.0,14.0,11.0,9.0,12.0,5.0,256,449,0.0,33.0,12.0,14.0,2.0,21.0,4.0,5.0,4.0,5.0,1.0,74,10.0,28.0,10.0,6.0,12.0,2.0,43,1.0,10.0,3.0,0.0,10.0,7.0,10.0,13.0,14.0,27.0,19.0,28.0,23.0,23.0,41.0,43.0,1.0,58.0,7.0,0.0,23.0,4.0,18.0,12.0,47.0,12.0,31.0,17.0,4.0,43.0,10.0,10.0,2.0,15,3.0,2.0,6.0,10.0,22.0,1.0,6.0,13.0,30.0,12.0,3.0,13.0,5.0,7.0,14.0,1.0,21.0,70,2.0,11.0,22,36.0,17.0
india,48,25.0,29.0,10.0,4.0,4.0,5.0,49.0,7.0,10.0,3.0,5.0,6.0,1.0,18.0,55.0,16.0,5.0,7.0,15.0,19.0,8.0,106,342,1.0,4.0,12.0,2.0,0.0,6.0,2.0,0.0,20.0,0.0,0.0,91,15.0,38.0,30.0,14.0,89.0,0.0,86,6.0,8.0,9.0,10.0,0.0,50.0,7.0,0.0,4.0,1.0,2.0,17.0,5.0,14.0,73.0,93.0,0.0,6.0,5.0,1.0,33.0,0.0,11.0,7.0,7.0,27.0,26.0,8.0,7.0,22.0,1.0,0.0,0.0,24,4.0,2.0,2.0,2.0,9.0,2.0,12.0,6.0,13.0,13.0,0.0,12.0,6.0,8.0,4.0,1.0,2.0,20,0.0,1.0,84,33.0,33.0
indian,13,14.0,17.0,9.0,5.0,3.0,11.0,14.0,11.0,1.0,6.0,3.0,3.0,6.0,8.0,8.0,0.0,2.0,4.0,10.0,15.0,3.0,56,313,3.0,3.0,36.0,0.0,0.0,7.0,2.0,0.0,23.0,1.0,0.0,49,11.0,31.0,13.0,32.0,24.0,0.0,88,4.0,2.0,9.0,7.0,50.0,0.0,0.0,0.0,5.0,0.0,8.0,9.0,8.0,7.0,58.0,76.0,0.0,6.0,3.0,0.0,25.0,0.0,16.0,11.0,8.0,12.0,17.0,1.0,3.0,10.0,1.0,0.0,0.0,16,0.0,0.0,0.0,5.0,5.0,0.0,2.0,2.0,8.0,12.0,0.0,8.0,0.0,7.0,7.0,0.0,0.0,10,0.0,6.0,30,42.0,38.0
japan,86,6.0,17.0,2.0,3.0,7.0,0.0,88.0,6.0,0.0,13.0,3.0,1.0,10.0,21.0,39.0,13.0,5.0,2.0,42.0,3.0,0.0,55,238,0.0,1.0,9.0,1.0,0.0,10.0,1.0,25.0,10.0,0.0,0.0,55,1.0,12.0,5.0,0.0,8.0,0.0,35,5.0,6.0,1.0,10.0,7.0,0.0,0.0,38.0,1.0,1.0,3.0,22.0,16.0,17.0,31.0,8.0,3.0,14.0,8.0,0.0,22.0,5.0,34.0,3.0,15.0,17.0,10.0,18.0,16.0,4.0,7.0,0.0,0.0,16,0.0,0.0,1.0,1.0,4.0,0.0,4.0,7.0,2.0,3.0,5.0,6.0,7.0,4.0,5.0,1.0,3.0,22,0.0,10.0,38,10.0,13.0
japans,68,27.0,13.0,0.0,5.0,19.0,6.0,45.0,10.0,0.0,21.0,2.0,4.0,25.0,19.0,9.0,5.0,4.0,0.0,63.0,11.0,0.0,35,324,1.0,1.0,52.0,1.0,1.0,42.0,1.0,7.0,17.0,0.0,0.0,10,4.0,47.0,30.0,6.0,5.0,2.0,27,6.0,1.0,0.0,13.0,0.0,0.0,38.0,0.0,0.0,1.0,0.0,34.0,17.0,12.0,73.0,10.0,0.0,7.0,21.0,0.0,61.0,0.0,15.0,2.0,20.0,120.0,23.0,18.0,47.0,7.0,7.0,0.0,0.0,5,0.0,0.0,2.0,1.0,2.0,0.0,0.0,44.0,3.0,7.0,1.0,12.0,12.0,6.0,5.0,0.0,0.0,3,0.0,43.0,2,80.0,11.0
jobs,138,35.0,29.0,17.0,12.0,19.0,3.0,12.0,20.0,15.0,17.0,2.0,9.0,25.0,6.0,18.0,4.0,5.0,6.0,40.0,31.0,15.0,159,820,5.0,27.0,52.0,8.0,2.0,24.0,18.0,4.0,6.0,1.0,17.0,45,36.0,41.0,13.0,15.0,38.0,4.0,131,15.0,9.0,0.0,14.0,4.0,5.0,1.0,0.0,0.0,19.0,23.0,75.0,16.0,60.0,18.0,162.0,21.0,11.0,10.0,0.0,68.0,13.0,11.0,33.0,19.0,15.0,113.0,40.0,20.0,152.0,6.0,0.0,4.0,40,1.0,5.0,10.0,19.0,18.0,4.0,18.0,15.0,26.0,37.0,5.0,51.0,11.0,27.0,13.0,15.0,17.0,274,0.0,9.0,21,78.0,37.0
local,59,12.0,19.0,0.0,4.0,11.0,4.0,18.0,4.0,9.0,24.0,1.0,8.0,32.0,9.0,12.0,4.0,18.0,1.0,11.0,7.0,1.0,67,304,2.0,1.0,20.0,0.0,0.0,19.0,2.0,1.0,5.0,1.0,0.0,21,10.0,18.0,10.0,19.0,7.0,0.0,25,12.0,5.0,0.0,27.0,1.0,0.0,1.0,1.0,19.0,0.0,5.0,13.0,6.0,14.0,9.0,39.0,1.0,6.0,4.0,0.0,15.0,3.0,1.0,8.0,9.0,17.0,13.0,3.0,6.0,12.0,2.0,2.0,2.0,8,1.0,4.0,2.0,5.0,2.0,0.0,10.0,11.0,33.0,8.0,3.0,4.0,6.0,9.0,1.0,0.0,0.0,12,0.0,10.0,10,39.0,19.0
low,68,42.0,42.0,4.0,12.0,12.0,3.0,44.0,2.0,0.0,23.0,1.0,4.0,16.0,21.0,13.0,30.0,4.0,15.0,20.0,25.0,0.0,109,450,17.0,3.0,23.0,11.0,1.0,21.0,2.0,6.0,13.0,9.0,1.0,86,15.0,45.0,17.0,16.0,19.0,1.0,123,20.0,25.0,12.0,19.0,2.0,8.0,3.0,0.0,23.0,5.0,0.0,32.0,27.0,22.0,28.0,42.0,1.0,200.0,7.0,0.0,60.0,15.0,15.0,7.0,227.0,36.0,69.0,63.0,17.0,22.0,6.0,6.0,22.0,20,0.0,2.0,3.0,14.0,16.0,0.0,19.0,24.0,6.0,24.0,5.0,15.0,4.0,5.0,13.0,2.0,11.0,70,2.0,15.0,43,117.0,45.0
market,198,52.0,69.0,13.0,21.0,19.0,9.0,51.0,10.0,7.0,21.0,14.0,3.0,26.0,39.0,145.0,131.0,49.0,20.0,80.0,52.0,4.0,244,936,9.0,39.0,43.0,32.0,7.0,54.0,11.0,16.0,11.0,8.0,7.0,180,29.0,32.0,17.0,16.0,40.0,2.0,133,17.0,15.0,8.0,28.0,17.0,9.0,22.0,34.0,75.0,13.0,32.0,0.0,46.0,55.0,35.0,100.0,8.0,65.0,30.0,0.0,64.0,8.0,42.0,30.0,60.0,65.0,58.0,41.0,32.0,59.0,23.0,3.0,7.0,29,7.0,10.0,11.0,39.0,35.0,1.0,4.0,42.0,42.0,52.0,22.0,42.0,2.0,28.0,30.0,2.0,19.0,252,5.0,20.0,61,158.0,56.0
markets,139,34.0,59.0,24.0,19.0,10.0,8.0,53.0,10.0,21.0,14.0,20.0,6.0,18.0,38.0,92.0,117.0,60.0,13.0,62.0,52.0,2.0,192,610,6.0,14.0,31.0,21.0,5.0,37.0,4.0,4.0,7.0,14.0,1.0,312,20.0,26.0,33.0,4.0,15.0,0.0,108,10.0,20.0,12.0,23.0,5.0,8.0,16.0,17.0,16.0,6.0,27.0,46.0,0.0,26.0,32.0,62.0,1.0,60.0,33.0,0.0,38.0,2.0,42.0,17.0,71.0,41.0,23.0,26.0,25.0,18.0,31.0,2.0,3.0,31,1.0,5.0,1.0,38.0,55.0,2.0,6.0,11.0,21.0,15.0,33.0,14.0,1.0,17.0,12.0,5.0,15.0,170,4.0,15.0,131,86.0,23.0
may,188,53.0,88.0,7.0,9.0,16.0,10.0,76.0,21.0,13.0,21.0,14.0,10.0,29.0,38.0,53.0,90.0,24.0,21.0,69.0,22.0,9.0,217,790,11.0,16.0,38.0,15.0,8.0,72.0,3.0,13.0,15.0,4.0,6.0,82,18.0,67.0,46.0,20.0,25.0,0.0,174,24.0,6.0,4.0,23.0,14.0,7.0,17.0,12.0,60.0,14.0,22.0,55.0,26.0,0.0,43.0,91.0,2.0,29.0,24.0,0.0,59.0,6.0,27.0,47.0,30.0,101.0,59.0,51.0,23.0,60.0,17.0,21.0,6.0,27,2.0,11.0,7.0,36.0,36.0,0.0,16.0,38.0,18.0,54.0,15.0,34.0,10.0,16.0,24.0,9.0,20.0,154,2.0,24.0,58,95.0,62.0
minister,311,55.0,80.0,42.0,16.0,31.0,10.0,41.0,20.0,10.0,52.0,25.0,58.0,36.0,33.0,40.0,19.0,14.0,36.0,40.0,42.0,12.0,424,1283,4.0,33.0,59.0,2.0,0.0,51.0,17.0,3.0,29.0,62.0,0.0,111,23.0,195.0,30.0,50.0,43.0,2.0,154,54.0,13.0,7.0,41.0,73.0,58.0,31.0,73.0,18.0,9.0,28.0,35.0,32.0,43.0,0.0,175.0,4.0,74.0,22.0,0.0,86.0,29.0,42.0,61.0,48.0,48.0,38.0,17.0,29.0,16.0,7.0,83.0,10.0,73,3.0,1.0,5.0,5.0,14.0,0.0,37.0,31.0,45.0,25.0,1.0,23.0,42.0,18.0,56.0,6.0,23.0,29,3.0,12.0,64,145.0,75.0
new,438,114.0,144.0,36.0,30.0,40.0,24.0,100.0,41.0,37.0,63.0,14.0,48.0,132.0,60.0,96.0,92.0,64.0,48.0,125.0,58.0,52.0,570,1914,14.0,27.0,92.0,26.0,4.0,120.0,24.0,51.0,40.0,5.0,51.0,219,49.0,168.0,83.0,78.0,78.0,3.0,314,48.0,40.0,6.0,43.0,93.0,76.0,8.0,10.0,162.0,39.0,42.0,100.0,62.0,91.0,175.0,0.0,18.0,63.0,60.0,0.0,140.0,23.0,53.0,104.0,58.0,125.0,109.0,44.0,41.0,260.0,16.0,6.0,13.0,129,4.0,78.0,52.0,28.0,37.0,3.0,40.0,55.0,82.0,41.0,25.0,59.0,34.0,50.0,27.0,20.0,45.0,257,7.0,19.0,122,320.0,152.0
obama,51,3.0,10.0,10.0,3.0,4.0,1.0,0.0,5.0,0.0,2.0,0.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,0.0,2.0,0.0,75,200,6.0,1.0,0.0,1.0,0.0,9.0,2.0,4.0,0.0,5.0,0.0,14,7.0,3.0,0.0,0.0,2.0,0.0,14,8.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,21.0,1.0,1.0,8.0,1.0,2.0,4.0,18.0,0.0,0.0,6.0,0.0,3.0,2.0,6.0,220.0,1.0,0.0,3.0,1.0,7.0,10.0,1.0,0.0,3.0,12,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,53.0,4.0,0.0,9.0,3.0,3.0,5.0,6.0,1.0,73,1.0,1.0,10,5.0,8.0
oil,174,58.0,71.0,10.0,30.0,15.0,5.0,73.0,13.0,10.0,25.0,1.0,19.0,20.0,38.0,37.0,35.0,27.0,40.0,45.0,34.0,1.0,263,911,14.0,2.0,43.0,6.0,2.0,56.0,2.0,9.0,22.0,6.0,0.0,229,17.0,84.0,31.0,34.0,18.0,0.0,142,26.0,51.0,13.0,58.0,6.0,6.0,14.0,7.0,11.0,6.0,200.0,65.0,60.0,29.0,74.0,63.0,0.0,0.0,23.0,0.0,90.0,37.0,17.0,28.0,633.0,46.0,46.0,22.0,36.0,31.0,13.0,41.0,90.0,24,1.0,0.0,7.0,18.0,28.0,1.0,9.0,39.0,38.0,29.0,26.0,30.0,18.0,17.0,11.0,0.0,8.0,120,1.0,28.0,75,145.0,60.0
outlook,92,51.0,70.0,3.0,14.0,13.0,12.0,69.0,4.0,5.0,18.0,7.0,18.0,46.0,33.0,28.0,57.0,25.0,13.0,28.0,29.0,0.0,312,411,8.0,12.0,34.0,10.0,8.0,28.0,7.0,1.0,21.0,17.0,0.0,140,9.0,12.0,17.0,22.0,10.0,0.0,144,3.0,1.0,17.0,7.0,5.0,3.0,8.0,21.0,10.0,4.0,7.0,30.0,33.0,24.0,22.0,60.0,6.0,23.0,0.0,2.0,34.0,2.0,27.0,23.0,22.0,45.0,17.0,15.0,17.0,40.0,43.0,3.0,1.0,25,7.0,0.0,3.0,6.0,7.0,3.0,12.0,18.0,21.0,13.0,2.0,9.0,2.0,12.0,8.0,2.0,23.0,81,3.0,27.0,53,89.0,25.0
pct,5,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,0.0,0.0,6.0,1.0,0.0,1.0,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2.0,0.0,1,0.0,0.0
percent,365,384.0,190.0,30.0,25.0,54.0,12.0,187.0,23.0,6.0,39.0,17.0,22.0,38.0,109.0,79.0,144.0,46.0,38.0,255.0,61.0,4.0,432,1666,33.0,18.0,188.0,8.0,3.0,266.0,0.0,17.0,132.0,49.0,2.0,143,24.0,183.0,503.0,198.0,78.0,2.0,571,13.0,32.0,42.0,23.0,33.0,25.0,22.0,61.0,68.0,15.0,60.0,64.0,38.0,59.0,86.0,140.0,3.0,90.0,34.0,0.0,0.0,6.0,17.0,47.0,93.0,606.0,334.0,36.0,79.0,81.0,19.0,19.0,13.0,51,3.0,9.0,15.0,26.0,50.0,3.0,62.0,111.0,58.0,42.0,21.0,64.0,11.0,39.0,38.0,5.0,8.0,244,0.0,51.0,110,667.0,165.0
plan,65,4.0,16.0,2.0,5.0,4.0,0.0,7.0,8.0,2.0,14.0,1.0,8.0,11.0,9.0,5.0,14.0,20.0,7.0,2.0,4.0,1.0,104,199,13.0,0.0,4.0,4.0,1.0,12.0,5.0,2.0,0.0,0.0,0.0,18,4.0,58.0,4.0,11.0,2.0,0.0,29,23.0,0.0,1.0,4.0,0.0,0.0,5.0,0.0,13.0,3.0,15.0,8.0,2.0,6.0,29.0,23.0,2.0,37.0,2.0,0.0,6.0,0.0,12.0,15.0,16.0,3.0,4.0,9.0,0.0,2.0,3.0,14.0,21.0,9,1.0,0.0,0.0,0.0,15.0,0.0,3.0,9.0,12.0,6.0,0.0,3.0,15.0,9.0,5.0,9.0,2.0,11,0.0,2.0,2,24.0,14.0
policy,96,17.0,38.0,11.0,16.0,12.0,3.0,132.0,4.0,14.0,28.0,6.0,8.0,19.0,96.0,25.0,41.0,10.0,6.0,20.0,12.0,4.0,267,482,9.0,3.0,29.0,37.0,12.0,30.0,7.0,0.0,8.0,3.0,1.0,87,13.0,60.0,7.0,14.0,12.0,0.0,99,10.0,5.0,9.0,18.0,11.0,16.0,34.0,15.0,11.0,1.0,15.0,42.0,42.0,27.0,42.0,53.0,6.0,17.0,27.0,0.0,17.0,12.0,0.0,52.0,23.0,17.0,57.0,42.0,7.0,28.0,24.0,2.0,5.0,21,1.0,1.0,7.0,7.0,8.0,3.0,11.0,13.0,22.0,17.0,15.0,10.0,5.0,21.0,8.0,4.0,7.0,95,1.0,12.0,49,60.0,22.0
president,225,22.0,45.0,29.0,10.0,22.0,6.0,126.0,22.0,2.0,15.0,2.0,13.0,21.0,69.0,22.0,36.0,52.0,24.0,8.0,24.0,0.0,331,832,15.0,3.0,16.0,52.0,3.0,36.0,10.0,12.0,3.0,12.0,0.0,75,23.0,69.0,9.0,15.0,24.0,2.0,105,13.0,9.0,2.0,12.0,7.0,11.0,3.0,2.0,33.0,8.0,7.0,30.0,17.0,47.0,61.0,104.0,220.0,28.0,23.0,0.0,47.0,15.0,52.0,0.0,17.0,16.0,29.0,15.0,27.0,26.0,11.0,45.0,2.0,67,2.0,0.0,4.0,3.0,15.0,1.0,30.0,11.0,124.0,17.0,5.0,27.0,9.0,36.0,8.0,17.0,4.0,172,2.0,14.0,45,83.0,43.0
prices,130,60.0,64.0,9.0,28.0,23.0,2.0,87.0,9.0,14.0,31.0,6.0,11.0,17.0,40.0,48.0,48.0,34.0,39.0,55.0,31.0,2.0,214,816,16.0,5.0,52.0,5.0,0.0,51.0,3.0,25.0,10.0,5.0,0.0,207,19.0,63.0,36.0,34.0,19.0,0.0,152,17.0,57.0,17.0,47.0,7.0,8.0,15.0,20.0,19.0,9.0,227.0,60.0,71.0,30.0,48.0,58.0,1.0,633.0,22.0,0.0,93.0,16.0,23.0,17.0,0.0,52.0,61.0,26.0,34.0,25.0,21.0,24.0,47.0,29,2.0,2.0,8.0,12.0,29.0,4.0,10.0,41.0,17.0,26.0,20.0,38.0,10.0,7.0,14.0,1.0,11.0,105,1.0,40.0,70,143.0,78.0
quarter,350,310.0,160.0,21.0,28.0,69.0,12.0,124.0,37.0,11.0,41.0,0.0,3.0,87.0,84.0,69.0,169.0,39.0,45.0,307.0,63.0,0.0,305,1766,27.0,8.0,222.0,8.0,3.0,686.0,1.0,4.0,150.0,56.0,0.0,94,24.0,163.0,672.0,83.0,80.0,4.0,614,8.0,20.0,0.0,12.0,27.0,12.0,17.0,120.0,15.0,17.0,36.0,65.0,41.0,101.0,48.0,125.0,0.0,46.0,45.0,6.0,606.0,3.0,17.0,16.0,52.0,0.0,273.0,33.0,121.0,40.0,7.0,12.0,8.0,42,1.0,2.0,20.0,78.0,29.0,2.0,40.0,245.0,38.0,55.0,7.0,98.0,10.0,12.0,47.0,0.0,49.0,355,1.0,89.0,28,501.0,171.0
