words,"",2015,2016,4,abbas,arab,army,arrested,bank,boys,call,calls,children,city,conference,conflict,day,de,east,eu,first,flood,flooding,forces,france,french,gaza,greek,group,hamas,help,home,human,international,israel,israeli,israelipalestinian,israelpalestine,israels,jerusalem,jewish,justice,killed,la,land,latest,leader,man,media,meet,middle,minister,netanyahu,new,occupation,one,palestine,palestines,palestinian,palestinians,peace,police,president,propalestine,recognize,refugees,report,rights,sanders,says,school,shooting,shot,soccer,solidarity,solution,state,students,support,sushma,swaraj,syria,talks,team,texas,today,trump,two,uk,un,university,urges,us,violence,visit,war,week,west,woman,world
international,89.0,47.0,111.0,9.0,16.0,14.0,2.0,0.0,11.0,1.0,5.0,3.0,6.0,5.0,54.0,19.0,39.0,10.0,143.0,2.0,13.0,0.0,0.0,5.0,32.0,23.0,8.0,0.0,9.0,2.0,4.0,0.0,12.0,0.0,50.0,39.0,25.0,11.0,13.0,8.0,4.0,10.0,2.0,1.0,14.0,3.0,1.0,1.0,141.0,1.0,141.0,25.0,1.0,17.0,11.0,5.0,293,13.0,158.0,16.0,57.0,4.0,21.0,2.0,12.0,8.0,1.0,11.0,0.0,20.0,15.0,0.0,0.0,0.0,29.0,11.0,26.0,6.0,21.0,0.0,0.0,2.0,11.0,0.0,0.0,94.0,0.0,6.0,0.0,18.0,2.0,0.0,6.0,4.0,4.0,4.0,49.0,7.0,2.0,17.0
israel,134.0,9.0,38.0,0.0,14.0,24.0,6.0,13.0,46.0,1.0,7.0,5.0,11.0,19.0,29.0,70.0,25.0,0.0,46.0,10.0,42.0,0.0,0.0,18.0,10.0,19.0,60.0,1.0,24.0,18.0,5.0,7.0,32.0,50.0,0.0,101.0,20.0,12.0,17.0,43.0,35.0,14.0,15.0,2.0,37.0,18.0,18.0,8.0,14.0,3.0,38.0,107.0,18.0,59.0,24.0,33.0,571,19.0,369.0,61.0,101.0,10.0,62.0,10.0,10.0,3.0,7.0,36.0,11.0,28.0,9.0,4.0,4.0,0.0,14.0,25.0,83.0,15.0,25.0,59.0,55.0,11.0,34.0,2.0,1.0,31.0,34.0,48.0,2.0,28.0,10.0,1.0,51.0,30.0,84.0,17.0,11.0,73.0,0.0,15.0
israeli,245.0,100.0,77.0,13.0,21.0,15.0,72.0,21.0,144.0,6.0,3.0,5.0,25.0,66.0,9.0,25.0,22.0,1.0,47.0,17.0,9.0,0.0,0.0,152.0,6.0,16.0,66.0,0.0,30.0,10.0,6.0,15.0,18.0,39.0,101.0,0.0,11.0,9.0,25.0,97.0,31.0,11.0,73.0,0.0,44.0,11.0,13.0,48.0,24.0,7.0,11.0,82.0,47.0,25.0,106.0,31.0,308,11.0,714.0,101.0,44.0,32.0,33.0,5.0,1.0,2.0,7.0,23.0,2.0,17.0,9.0,17.0,86.0,2.0,7.0,19.0,44.0,16.0,13.0,6.0,6.0,1.0,14.0,4.0,0.0,35.0,2.0,51.0,2.0,20.0,14.0,0.0,18.0,31.0,15.0,8.0,33.0,158.0,30.0,4.0
israelipalestinian,30.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,17.0,113.0,1.0,4.0,9.0,5.0,11.0,0.0,0.0,1.0,11.0,5.0,2.0,0.0,4.0,2.0,2.0,1.0,1.0,25.0,20.0,11.0,0.0,0.0,2.0,4.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,9.0,15.0,3.0,8.0,1.0,7.0,22,0.0,18.0,0.0,44.0,0.0,25.0,0.0,5.0,0.0,4.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,51.0,12.0,1.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,5.0,4.0,4.0,0.0,3.0,3.0,0.0,8.0,4.0,2.0,3.0,3.0,1.0,0.0,3.0
israelpalestine,21.0,3.0,7.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,5.0,54.0,0.0,0.0,5.0,2.0,4.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,2.0,1.0,0.0,2.0,4.0,11.0,12.0,9.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,14.0,1.0,5.0,10,0.0,13.0,3.0,26.0,1.0,9.0,0.0,0.0,1.0,4.0,3.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,8.0,3.0,3.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,4.0,9.0,1.0,0.0,4.0,0.0,14.0,4.0,7.0,2.0,3.0,3.0,0.0,3.0
israels,18.0,5.0,5.0,1.0,6.0,0.0,0.0,9.0,19.0,0.0,2.0,0.0,2.0,2.0,4.0,1.0,4.0,0.0,7.0,1.0,3.0,0.0,0.0,9.0,2.0,4.0,7.0,0.0,6.0,0.0,1.0,2.0,6.0,13.0,17.0,25.0,2.0,1.0,0.0,12.0,5.0,0.0,1.0,0.0,8.0,8.0,2.0,1.0,2.0,0.0,3.0,23.0,5.0,6.0,39.0,3.0,80,4.0,96.0,21.0,6.0,3.0,14.0,1.0,2.0,1.0,3.0,10.0,4.0,5.0,1.0,0.0,0.0,0.0,7.0,2.0,7.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,14.0,2.0,6.0,2.0,7.0,1.0,0.0,12.0,9.0,2.0,4.0,3.0,19.0,2.0,6.0
jerusalem,106.0,26.0,37.0,2.0,5.0,8.0,8.0,5.0,44.0,0.0,1.0,1.0,5.0,14.0,2.0,11.0,3.0,0.0,55.0,1.0,5.0,0.0,0.0,15.0,0.0,1.0,13.0,0.0,7.0,2.0,1.0,3.0,3.0,8.0,43.0,97.0,4.0,0.0,12.0,0.0,10.0,0.0,18.0,0.0,7.0,2.0,7.0,4.0,1.0,4.0,3.0,15.0,6.0,10.0,8.0,7.0,100,2.0,159.0,21.0,6.0,13.0,16.0,0.0,1.0,12.0,5.0,4.0,0.0,6.0,1.0,2.0,15.0,0.0,1.0,10.0,14.0,3.0,10.0,5.0,5.0,7.0,0.0,1.0,0.0,4.0,0.0,14.0,0.0,5.0,3.0,0.0,3.0,7.0,12.0,2.0,13.0,50.0,6.0,7.0
jewish,17.0,4.0,1.0,1.0,1.0,9.0,0.0,2.0,6.0,0.0,2.0,1.0,1.0,12.0,0.0,7.0,5.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,12.0,2.0,2.0,15.0,3.0,4.0,35.0,31.0,3.0,0.0,5.0,10.0,0.0,11.0,10.0,0.0,5.0,1.0,4.0,4.0,1.0,0.0,3.0,1.0,1.0,10.0,5.0,4.0,84,0.0,78.0,14.0,9.0,5.0,5.0,3.0,0.0,1.0,0.0,4.0,1.0,6.0,3.0,1.0,6.0,1.0,2.0,0.0,21.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,20.0,1.0,3.0,7.0,1.0,9.0,5.0,0.0,4.0,0.0,7.0,10.0,1.0
justice,15.0,3.0,4.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,15.0,0.0,2.0,1.0,0.0,10.0,14.0,11.0,1.0,6.0,0.0,0.0,11.0,0.0,4.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,2.0,1.0,110,4.0,19.0,7.0,15.0,0.0,3.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,12.0,0.0,1.0,0.0,6.0,1.0,3.0,74.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,20.0,0.0,4.0,2.0,2.0,1.0,8.0,3.0,0.0,1.0
killed,65.0,11.0,6.0,8.0,3.0,2.0,5.0,5.0,21.0,1.0,0.0,0.0,10.0,14.0,0.0,0.0,5.0,0.0,35.0,0.0,3.0,7.0,39.0,16.0,0.0,0.0,12.0,0.0,4.0,2.0,0.0,6.0,0.0,2.0,15.0,73.0,0.0,1.0,1.0,18.0,10.0,4.0,0.0,0.0,0.0,8.0,1.0,15.0,1.0,1.0,0.0,7.0,7.0,1.0,4.0,10.0,82,0.0,98.0,34.0,0.0,32.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,8.0,2.0,4.0,20.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,1.0,0.0,12.0,0.0,0.0,2.0,0.0,7.0,13.0,7.0,2.0,8.0,23.0,52.0,0.0
la,52.0,1.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,78,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
land,52.0,5.0,34.0,0.0,10.0,5.0,3.0,0.0,14.0,0.0,0.0,0.0,1.0,7.0,2.0,6.0,26.0,0.0,6.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,3.0,1.0,14.0,37.0,44.0,2.0,1.0,8.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,2.0,0.0,7.0,20.0,4.0,87,9.0,86.0,20.0,4.0,0.0,11.0,1.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,11.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,5.0,1.0,0.0,4.0,4.0,1.0,0.0,3.0,14.0,0.0,8.0
latest,25.0,0.0,1.0,0.0,1.0,2.0,0.0,7.0,6.0,0.0,0.0,1.0,1.0,4.0,5.0,1.0,1.0,0.0,16.0,0.0,1.0,6.0,24.0,7.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,18.0,11.0,2.0,1.0,8.0,2.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,0.0,2.0,3.0,4.0,45,0.0,32.0,1.0,4.0,5.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,26.0,6.0,1.0,2.0,0.0,6.0,0.0,0.0,3.0,11.0,2.0,0.0,2.0,6.0,7.0,2.0
leader,9.0,0.0,2.0,0.0,18.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,9.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,5.0,6.0,0.0,0.0,0.0,1.0,18.0,13.0,0.0,0.0,2.0,7.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,8.0,7.0,8.0,1.0,7.0,52,3.0,52.0,4.0,5.0,1.0,12.0,1.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,3.0,17.0,1.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,6.0,1.0,5.0,1.0,3.0,2.0,0.0,4.0
man,45.0,13.0,10.0,3.0,3.0,1.0,1.0,15.0,14.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,1.0,0.0,33.0,0.0,6.0,1.0,1.0,16.0,0.0,0.0,4.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,8.0,48.0,0.0,0.0,1.0,4.0,4.0,2.0,15.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,8.0,4.0,17.0,64,6.0,82.0,3.0,5.0,26.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,14.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,4.0,19.0,10.0,1.0
media,18.0,29.0,100.0,5.0,2.0,3.0,2.0,1.0,7.0,0.0,0.0,2.0,0.0,1.0,6.0,3.0,3.0,2.0,141.0,0.0,6.0,0.0,0.0,2.0,0.0,2.0,9.0,2.0,2.0,3.0,1.0,0.0,1.0,141.0,14.0,24.0,3.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,4.0,2.0,1.0,7.0,0.0,1.0,134.0,5.0,0.0,3.0,4.0,4.0,185,2.0,56.0,8.0,1.0,5.0,4.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,7.0,92.0,0.0,2.0,1.0,0.0,4.0,0.0,8.0,5.0,1.0,1.0,48.0,8.0,0.0,9.0
meet,13.0,1.0,7.0,1.0,11.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,5.0,3.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,0.0,1.0,3.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,5.0,5.0,2.0,0.0,2.0,30,2.0,21.0,1.0,3.0,1.0,12.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,7.0,0.0,3.0,0.0,0.0,0.0
middle,32.0,30.0,99.0,5.0,2.0,7.0,2.0,0.0,2.0,0.0,1.0,0.0,4.0,5.0,9.0,21.0,0.0,0.0,262.0,3.0,14.0,0.0,1.0,0.0,2.0,7.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,141.0,38.0,11.0,9.0,5.0,3.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,134.0,0.0,0.0,10.0,0.0,14.0,4.0,4.0,194,6.0,50.0,8.0,39.0,1.0,10.0,1.0,0.0,8.0,4.0,2.0,2.0,5.0,4.0,0.0,0.0,0.0,1.0,8.0,11.0,2.0,2.0,2.0,1.0,3.0,5.0,4.0,0.0,95.0,2.0,7.0,0.0,11.0,4.0,0.0,5.0,6.0,4.0,1.0,46.0,5.0,0.0,1.0
minister,92.0,6.0,22.0,6.0,30.0,7.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,2.0,24.0,13.0,11.0,0.0,16.0,2.0,26.0,0.0,0.0,1.0,16.0,27.0,6.0,11.0,8.0,1.0,3.0,1.0,1.0,25.0,107.0,82.0,15.0,5.0,23.0,15.0,1.0,2.0,7.0,1.0,2.0,5.0,8.0,1.0,5.0,5.0,10.0,0.0,60.0,35.0,5.0,11.0,192,15.0,192.0,18.0,42.0,1.0,57.0,1.0,12.0,1.0,0.0,2.0,0.0,10.0,0.0,1.0,0.0,0.0,3.0,6.0,48.0,1.0,16.0,88.0,86.0,0.0,26.0,0.0,0.0,15.0,0.0,17.0,2.0,6.0,6.0,2.0,9.0,7.0,91.0,5.0,6.0,30.0,1.0,9.0
netanyahu,10.0,0.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,5.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,18.0,47.0,3.0,1.0,5.0,6.0,1.0,0.0,7.0,1.0,0.0,0.0,7.0,1.0,0.0,5.0,0.0,60.0,0.0,1.0,0.0,3.0,18,2.0,25.0,2.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,9.0,0.0,0.0,1.0,1.0,1.0
new,123.0,11.0,25.0,7.0,5.0,5.0,1.0,5.0,16.0,2.0,4.0,2.0,4.0,24.0,9.0,22.0,11.0,1.0,32.0,3.0,44.0,3.0,0.0,7.0,3.0,2.0,7.0,0.0,19.0,2.0,2.0,9.0,6.0,17.0,59.0,25.0,8.0,14.0,6.0,10.0,10.0,4.0,1.0,0.0,7.0,2.0,8.0,8.0,3.0,2.0,14.0,35.0,1.0,0.0,5.0,28.0,271,20.0,123.0,12.0,17.0,9.0,17.0,4.0,3.0,10.0,10.0,14.0,3.0,8.0,18.0,0.0,2.0,2.0,14.0,5.0,32.0,17.0,15.0,20.0,19.0,3.0,7.0,13.0,3.0,6.0,0.0,24.0,1.0,18.0,12.0,0.0,16.0,17.0,26.0,6.0,12.0,29.0,2.0,17.0
occupation,22.0,2.0,17.0,1.0,4.0,5.0,1.0,3.0,14.0,1.0,3.0,2.0,4.0,0.0,4.0,1.0,12.0,0.0,10.0,4.0,1.0,0.0,0.0,16.0,0.0,5.0,2.0,0.0,2.0,1.0,2.0,0.0,6.0,11.0,24.0,106.0,1.0,1.0,39.0,8.0,5.0,2.0,4.0,0.0,20.0,3.0,1.0,4.0,4.0,0.0,4.0,5.0,0.0,5.0,0.0,3.0,102,2.0,99.0,15.0,8.0,2.0,6.0,1.0,0.0,1.0,1.0,10.0,7.0,4.0,2.0,0.0,4.0,0.0,3.0,3.0,3.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,1.0,0.0,8.0,0.0,0.0,11.0,2.0,1.0,3.0,1.0,16.0,3.0,6.0
one,73.0,2.0,11.0,0.0,1.0,7.0,5.0,6.0,25.0,3.0,1.0,1.0,1.0,22.0,0.0,11.0,8.0,0.0,32.0,1.0,19.0,1.0,6.0,12.0,1.0,3.0,9.0,0.0,8.0,2.0,4.0,6.0,6.0,5.0,33.0,31.0,7.0,5.0,3.0,7.0,4.0,1.0,10.0,1.0,4.0,4.0,7.0,17.0,4.0,2.0,4.0,11.0,3.0,28.0,3.0,0.0,173,20.0,106.0,25.0,6.0,18.0,9.0,2.0,1.0,1.0,0.0,6.0,3.0,6.0,24.0,22.0,10.0,1.0,1.0,1.0,7.0,9.0,4.0,1.0,1.0,3.0,0.0,5.0,15.0,3.0,1.0,36.0,0.0,3.0,5.0,0.0,17.0,4.0,7.0,4.0,3.0,25.0,2.0,12.0
palestine,1011.0,141.0,415.0,49.0,93.0,90.0,21.0,57.0,142.0,77.0,30.0,11.0,55.0,154.0,58.0,86.0,82.0,108.0,444.0,14.0,183.0,34.0,95.0,56.0,22.0,32.0,94.0,41.0,93.0,19.0,25.0,83.0,62.0,293.0,571.0,308.0,22.0,10.0,80.0,100.0,84.0,110.0,82.0,78.0,87.0,45.0,52.0,64.0,185.0,30.0,194.0,192.0,18.0,271.0,102.0,173.0,0,26.0,515.0,154.0,124.0,183.0,187.0,4.0,40.0,81.0,74.0,73.0,18.0,109.0,155.0,38.0,32.0,72.0,98.0,42.0,291.0,115.0,109.0,80.0,76.0,43.0,32.0,101.0,207.0,172.0,26.0,150.0,10.0,91.0,67.0,8.0,111.0,63.0,150.0,28.0,125.0,167.0,68.0,124.0
palestines,47.0,6.0,17.0,0.0,4.0,3.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,9.0,5.0,2.0,10.0,0.0,8.0,0.0,19.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,13.0,19.0,11.0,0.0,0.0,4.0,2.0,0.0,4.0,0.0,0.0,9.0,0.0,3.0,6.0,2.0,2.0,6.0,15.0,2.0,20.0,2.0,20.0,26,0.0,33.0,3.0,4.0,0.0,9.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,5.0,2.0,1.0,1.0,0.0,1.0,10.0,3.0,2.0,0.0,8.0,1.0,5.0,5.0,0.0,0.0,1.0,2.0,1.0,2.0,9.0,0.0,3.0
palestinian,529.0,164.0,136.0,23.0,224.0,75.0,61.0,32.0,263.0,6.0,22.0,5.0,56.0,143.0,53.0,30.0,83.0,4.0,99.0,13.0,97.0,0.0,0.0,140.0,34.0,37.0,162.0,25.0,85.0,67.0,15.0,38.0,71.0,158.0,369.0,714.0,18.0,13.0,96.0,159.0,78.0,19.0,98.0,2.0,86.0,32.0,52.0,82.0,56.0,21.0,50.0,192.0,25.0,123.0,99.0,106.0,515,33.0,0.0,140.0,91.0,42.0,265.0,2.0,28.0,57.0,29.0,119.0,14.0,52.0,24.0,21.0,97.0,5.0,58.0,24.0,203.0,35.0,106.0,14.0,17.0,16.0,46.0,16.0,1.0,51.0,3.0,136.0,11.0,78.0,32.0,5.0,61.0,60.0,68.0,33.0,62.0,278.0,52.0,90.0
palestinians,83.0,21.0,29.0,3.0,9.0,7.0,8.0,2.0,46.0,0.0,3.0,1.0,3.0,14.0,12.0,5.0,13.0,0.0,14.0,1.0,29.0,0.0,0.0,27.0,8.0,9.0,24.0,0.0,12.0,3.0,2.0,1.0,3.0,16.0,61.0,101.0,0.0,3.0,21.0,21.0,14.0,7.0,34.0,0.0,20.0,1.0,4.0,3.0,8.0,1.0,8.0,18.0,2.0,12.0,15.0,25.0,154,3.0,140.0,0.0,35.0,1.0,12.0,0.0,7.0,4.0,2.0,5.0,2.0,12.0,2.0,2.0,17.0,0.0,2.0,7.0,27.0,3.0,7.0,0.0,0.0,3.0,7.0,3.0,0.0,5.0,3.0,22.0,2.0,3.0,4.0,0.0,14.0,19.0,7.0,7.0,4.0,48.0,0.0,8.0
peace,52.0,0.0,7.0,2.0,11.0,15.0,1.0,3.0,6.0,0.0,3.0,2.0,0.0,5.0,35.0,30.0,7.0,0.0,43.0,4.0,13.0,0.0,0.0,1.0,24.0,40.0,1.0,0.0,10.0,0.0,3.0,2.0,2.0,57.0,101.0,44.0,44.0,26.0,6.0,6.0,9.0,15.0,0.0,0.0,4.0,4.0,5.0,5.0,1.0,3.0,39.0,42.0,10.0,17.0,8.0,6.0,124,4.0,91.0,35.0,0.0,0.0,26.0,0.0,8.0,2.0,5.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,15.0,40.0,7.0,12.0,3.0,2.0,0.0,41.0,1.0,0.0,7.0,6.0,11.0,0.0,12.0,3.0,0.0,22.0,7.0,10.0,1.0,2.0,11.0,0.0,14.0
police,60.0,11.0,32.0,7.0,0.0,1.0,0.0,34.0,12.0,1.0,8.0,0.0,6.0,13.0,0.0,1.0,0.0,2.0,31.0,0.0,3.0,3.0,25.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,6.0,3.0,4.0,10.0,32.0,0.0,1.0,3.0,13.0,5.0,0.0,32.0,2.0,0.0,5.0,1.0,26.0,5.0,1.0,1.0,1.0,0.0,9.0,2.0,18.0,183,0.0,42.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,4.0,0.0,8.0,28.0,36.0,8.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,58.0,1.0,0.0,20.0,0.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0,2.0,17.0,33.0,0.0
president,92.0,17.0,20.0,2.0,229.0,8.0,0.0,0.0,15.0,0.0,5.0,2.0,0.0,12.0,13.0,33.0,8.0,0.0,15.0,1.0,15.0,0.0,0.0,1.0,4.0,16.0,6.0,23.0,6.0,3.0,1.0,1.0,1.0,21.0,62.0,33.0,25.0,9.0,14.0,16.0,5.0,3.0,3.0,0.0,11.0,6.0,12.0,2.0,4.0,12.0,10.0,57.0,10.0,17.0,6.0,9.0,187,9.0,265.0,12.0,26.0,1.0,0.0,1.0,11.0,2.0,2.0,2.0,1.0,11.0,1.0,0.0,0.0,2.0,0.0,33.0,69.0,7.0,10.0,14.0,15.0,5.0,5.0,0.0,0.0,8.0,6.0,26.0,0.0,13.0,8.0,5.0,27.0,2.0,52.0,6.0,12.0,22.0,0.0,8.0
propalestine,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,10.0,5.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,4.0,1.0,2.0,4,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
recognize,12.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,15.0,7.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,1.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,12.0,1.0,3.0,0.0,1.0,40,1.0,28.0,7.0,8.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,47.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
refugees,38.0,8.0,20.0,1.0,2.0,3.0,0.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0,1.0,9.0,2.0,0.0,41.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,0.0,0.0,4.0,1.0,8.0,3.0,2.0,0.0,1.0,1.0,12.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,1.0,0.0,10.0,1.0,1.0,81,0.0,57.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,16.0,0.0,0.0,20.0,1.0,0.0,0.0,6.0,1.0,3.0,0.0,15.0,0.0,0.0,1.0,4.0,2.0,5.0,0.0,7.0,0.0,5.0
report,54.0,20.0,37.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,7.0,0.0,0.0,8.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,1.0,7.0,7.0,4.0,4.0,3.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,10.0,1.0,0.0,74,1.0,29.0,2.0,5.0,5.0,2.0,1.0,0.0,4.0,0.0,5.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,5.0,0.0,6.0
