words,"",2016,action,address,administration,america,americans,attack,attacks,back,barack,bill,brexit,budget,calls,campaign,change,climate,clinton,congress,control,court,cruz,cuba,deal,donald,executive,fight,final,first,gop,gun,guns,help,hillary,hiroshima,historic,house,immigration,iran,isis,islamic,last,law,leaders,legacy,make,makes,meet,meeting,michelle,national,new,next,nominee,nuclear,obama,obamas,one,orlando,paris,pick,plan,plans,policy,president,republican,republicans,sanders,says,security,senate,shooting,show,signs,speech,state,summit,supreme,syria,take,tax,tells,terror,trade,trip,trudeau,trump,trumps,union,urges,us,visit,wants,war,watch,white,wont,world,year
hillary,116,34.0,2.0,1.0,23.0,6.0,7.0,7.0,4.0,9.0,406,11.0,1.0,1.0,1.0,146.0,4.0,1.0,669.0,3.0,5.0,12.0,4.0,1.0,5.0,99.0,6.0,17.0,9.0,63,10.0,7.0,4.0,25.0,0.0,0.0,5.0,78.0,2.0,3.0,4.0,7.0,21.0,0.0,4.0,16.0,11.0,5.0,11.0,16.0,9.0,17.0,50.0,37.0,58.0,1.0,639,109,34.0,10.0,0.0,2.0,4.0,10.0,11.0,563,34.0,17.0,107.0,37.0,12.0,3.0,2.0,9.0,0.0,12.0,110.0,0.0,14.0,2.0,12.0,0.0,1.0,1.0,8.0,0.0,0.0,90.0,22.0,1.0,1.0,44,6.0,7.0,4.0,1.0,78.0,4.0,3.0,10.0
hiroshima,54,10.0,0.0,0.0,0.0,3.0,1.0,31.0,0.0,3.0,175,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,143,0.0,0.0,1.0,1.0,0.0,0.0,42.0,33.0,0.0,0.0,1.0,0.0,8.0,2.0,6.0,3.0,19.0,2.0,2.0,1.0,0.0,0.0,4.0,17.0,0.0,69.0,246,58,7.0,0.0,0.0,0.0,1.0,11.0,3.0,256,0.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,22.0,1.0,10.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,29.0,0.0,1.0,0.0,0.0,0.0,170,221.0,0.0,41.0,0.0,34.0,2.0,56.0,4.0
historic,80,5.0,5.0,21.0,29.0,14.0,19.0,3.0,6.0,9.0,259,0.0,4.0,1.0,1.0,3.0,27.0,19.0,4.0,3.0,0.0,2.0,1.0,141.0,8.0,4.0,0.0,1.0,13.0,56,1.0,1.0,0.0,11.0,5.0,42.0,0.0,30.0,0.0,21.0,0.0,7.0,42.0,0.0,14.0,4.0,23.0,11.0,5.0,15.0,7.0,15.0,24.0,25.0,0.0,21.0,317,84,26.0,0.0,13.0,0.0,0.0,9.0,4.0,346,1.0,1.0,5.0,5.0,5.0,3.0,0.0,5.0,0.0,19.0,15.0,10.0,4.0,0.0,9.0,0.0,0.0,1.0,5.0,83.0,1.0,3.0,1.0,7.0,0.0,132,172.0,3.0,34.0,2.0,25.0,1.0,22.0,5.0
house,486,137.0,26.0,107.0,106.0,23.0,45.0,21.0,33.0,32.0,1630,60.0,0.0,74.0,7.0,73.0,42.0,50.0,71.0,83.0,45.0,70.0,9.0,31.0,23.0,72.0,69.0,55.0,145.0,261,29.0,68.0,12.0,44.0,78.0,33.0,30.0,0.0,12.0,24.0,18.0,64.0,157.0,41.0,127.0,22.0,79.0,16.0,139.0,157.0,114.0,104.0,167.0,133.0,41.0,44.0,2465,321,140.0,32.0,37.0,15.0,48.0,59.0,35.0,2212,100.0,85.0,54.0,144.0,93.0,90.0,54.0,40.0,10.0,56.0,200.0,83.0,66.0,34.0,68.0,27.0,2.0,14.0,41.0,70.0,48.0,68.0,16.0,51.0,4.0,575,181.0,20.0,34.0,11.0,2521.0,16.0,36.0,142.0
immigration,50,5.0,15.0,4.0,28.0,3.0,7.0,1.0,2.0,0.0,97,3.0,1.0,0.0,0.0,4.0,7.0,2.0,1.0,16.0,3.0,60.0,8.0,0.0,0.0,22.0,46.0,11.0,3.0,2,2.0,5.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,5.0,1.0,6.0,0.0,0.0,1.0,5.0,13.0,2.0,5.0,0.0,139,94,7.0,0.0,0.0,0.0,25.0,4.0,17.0,162,13.0,7.0,1.0,12.0,8.0,6.0,0.0,5.0,0.0,3.0,2.0,0.0,66.0,0.0,4.0,0.0,0.0,0.0,15.0,1.0,0.0,8.0,17.0,2.0,0.0,56,0.0,1.0,0.0,0.0,8.0,1.0,1.0,13.0
iran,43,4.0,9.0,8.0,80.0,4.0,19.0,0.0,5.0,2.0,100,1.0,0.0,0.0,2.0,2.0,4.0,9.0,2.0,10.0,0.0,0.0,3.0,12.0,106.0,6.0,3.0,9.0,7.0,6,2.0,0.0,0.0,3.0,3.0,0.0,21.0,24.0,0.0,0.0,5.0,24.0,39.0,2.0,11.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,25.0,3.0,0.0,127.0,261,40,18.0,0.0,9.0,0.0,4.0,2.0,20.0,152,5.0,8.0,0.0,13.0,11.0,5.0,0.0,1.0,1.0,0.0,24.0,6.0,0.0,9.0,5.0,0.0,1.0,2.0,7.0,1.0,0.0,11.0,0.0,2.0,0.0,65,10.0,4.0,2.0,1.0,21.0,2.0,11.0,20.0
isis,50,2.0,9.0,15.0,29.0,6.0,14.0,9.0,41.0,7.0,147,1.0,0.0,4.0,3.0,24.0,12.0,13.0,8.0,11.0,4.0,0.0,4.0,3.0,3.0,7.0,0.0,39.0,8.0,9,4.0,4.0,2.0,4.0,4.0,1.0,0.0,18.0,0.0,5.0,0.0,52.0,12.0,0.0,19.0,0.0,6.0,1.0,2.0,15.0,0.0,24.0,23.0,9.0,2.0,9.0,316,65,10.0,4.0,34.0,0.0,14.0,4.0,16.0,279,11.0,3.0,1.0,14.0,25.0,4.0,1.0,2.0,0.0,11.0,56.0,10.0,0.0,49.0,7.0,0.0,1.0,30.0,2.0,8.0,1.0,13.0,0.0,7.0,0.0,65,15.0,2.0,27.0,0.0,18.0,5.0,18.0,7.0
islamic,157,3.0,9.0,39.0,68.0,23.0,49.0,17.0,79.0,16.0,436,0.0,0.0,6.0,9.0,54.0,10.0,11.0,7.0,9.0,5.0,0.0,4.0,1.0,13.0,19.0,0.0,131.0,18.0,48,0.0,4.0,0.0,36.0,7.0,0.0,7.0,64.0,0.0,24.0,52.0,0.0,25.0,1.0,44.0,5.0,23.0,2.0,18.0,22.0,0.0,41.0,37.0,24.0,1.0,18.0,656,96,23.0,7.0,57.0,1.0,13.0,14.0,12.0,626,25.0,7.0,0.0,35.0,55.0,6.0,12.0,6.0,2.0,36.0,568.0,25.0,0.0,130.0,18.0,0.0,0.0,32.0,10.0,10.0,1.0,22.0,1.0,9.0,3.0,221,64.0,6.0,41.0,2.0,63.0,5.0,26.0,21.0
last,191,34.0,16.0,83.0,108.0,17.0,21.0,19.0,35.0,23.0,475,15.0,6.0,30.0,2.0,24.0,21.0,25.0,15.0,50.0,17.0,30.0,0.0,39.0,30.0,29.0,26.0,21.0,42.0,63,6.0,38.0,3.0,14.0,21.0,8.0,42.0,157.0,6.0,39.0,12.0,25.0,0.0,13.0,23.0,14.0,27.0,3.0,17.0,29.0,24.0,32.0,70.0,22.0,10.0,47.0,941,188,97.0,12.0,29.0,5.0,29.0,6.0,26.0,742,21.0,13.0,12.0,19.0,38.0,9.0,30.0,22.0,1.0,49.0,122.0,26.0,25.0,8.0,15.0,12.0,1.0,10.0,10.0,33.0,4.0,24.0,14.0,89.0,0.0,182,79.0,6.0,31.0,7.0,154.0,8.0,26.0,194.0
law,132,17.0,6.0,11.0,63.0,9.0,14.0,0.0,7.0,3.0,277,64.0,0.0,2.0,2.0,5.0,4.0,2.0,0.0,19.0,10.0,52.0,2.0,4.0,2.0,3.0,8.0,6.0,5.0,35,3.0,23.0,6.0,20.0,0.0,2.0,0.0,41.0,1.0,2.0,0.0,1.0,13.0,0.0,9.0,2.0,13.0,3.0,12.0,5.0,7.0,18.0,73.0,7.0,19.0,7.0,453,54,12.0,1.0,5.0,3.0,9.0,7.0,11.0,378,10.0,28.0,2.0,23.0,9.0,20.0,9.0,1.0,2.0,7.0,20.0,2.0,46.0,0.0,6.0,7.0,0.0,5.0,16.0,1.0,0.0,0.0,0.0,1.0,0.0,83,6.0,4.0,7.0,1.0,31.0,2.0,9.0,14.0
leaders,165,7.0,7.0,14.0,24.0,9.0,10.0,11.0,13.0,19.0,468,1.0,2.0,5.0,1.0,18.0,32.0,46.0,5.0,7.0,4.0,29.0,2.0,7.0,14.0,41.0,2.0,19.0,14.0,34,17.0,4.0,2.0,14.0,4.0,6.0,14.0,127.0,3.0,11.0,19.0,44.0,23.0,9.0,0.0,1.0,24.0,0.0,68.0,93.0,2.0,11.0,22.0,65.0,31.0,46.0,662,53,18.0,0.0,52.0,1.0,8.0,24.0,9.0,606,84.0,9.0,1.0,15.0,45.0,43.0,1.0,12.0,1.0,10.0,61.0,163.0,25.0,10.0,15.0,1.0,1.0,9.0,23.0,19.0,10.0,39.0,5.0,8.0,0.0,205,61.0,6.0,10.0,2.0,121.0,8.0,127.0,37.0
legacy,32,6.0,8.0,11.0,12.0,4.0,2.0,0.0,2.0,6.0,94,0.0,0.0,1.0,2.0,9.0,16.0,17.0,15.0,3.0,6.0,4.0,1.0,8.0,6.0,9.0,1.0,0.0,22.0,16,1.0,2.0,1.0,1.0,16.0,3.0,4.0,22.0,5.0,4.0,0.0,5.0,14.0,2.0,1.0,0.0,8.0,3.0,1.0,1.0,7.0,2.0,15.0,5.0,3.0,4.0,154,75,14.0,1.0,12.0,0.0,3.0,3.0,13.0,161,11.0,3.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0,10.0,21.0,0.0,3.0,1.0,0.0,2.0,0.0,4.0,2.0,4.0,3.0,9.0,2.0,12.0,0.0,24,9.0,9.0,3.0,0.0,22.0,1.0,6.0,19.0
make,98,10.0,9.0,29.0,51.0,24.0,22.0,4.0,12.0,13.0,325,11.0,0.0,5.0,2.0,27.0,9.0,8.0,16.0,27.0,19.0,22.0,3.0,32.0,6.0,18.0,20.0,7.0,29.0,90,3.0,44.0,18.0,24.0,11.0,19.0,23.0,79.0,1.0,3.0,6.0,23.0,27.0,13.0,24.0,8.0,0.0,0.0,15.0,10.0,15.0,22.0,47.0,47.0,8.0,10.0,540,60,37.0,4.0,8.0,5.0,24.0,26.0,12.0,434,16.0,17.0,0.0,18.0,16.0,4.0,13.0,12.0,0.0,12.0,27.0,10.0,22.0,13.0,18.0,6.0,2.0,6.0,11.0,29.0,2.0,11.0,8.0,27.0,0.0,179,81.0,5.0,10.0,0.0,77.0,7.0,13.0,23.0
makes,15,2.0,0.0,6.0,8.0,1.0,2.0,2.0,0.0,1.0,59,2.0,0.0,3.0,1.0,5.0,4.0,4.0,7.0,4.0,2.0,5.0,1.0,8.0,1.0,2.0,14.0,1.0,4.0,14,0.0,2.0,0.0,1.0,5.0,2.0,11.0,16.0,6.0,3.0,1.0,2.0,3.0,3.0,0.0,3.0,0.0,0.0,2.0,5.0,2.0,3.0,8.0,5.0,2.0,1.0,116,17,9.0,2.0,5.0,1.0,2.0,1.0,5.0,85,3.0,3.0,3.0,5.0,2.0,2.0,7.0,1.0,0.0,4.0,11.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,1.0,4.0,0.0,30,14.0,0.0,2.0,0.0,15.0,0.0,4.0,3.0
meet,104,12.0,9.0,9.0,6.0,2.0,3.0,9.0,1.0,4.0,294,2.0,0.0,6.0,1.0,13.0,11.0,16.0,10.0,15.0,11.0,20.0,0.0,17.0,2.0,2.0,15.0,11.0,2.0,50,2.0,34.0,7.0,8.0,11.0,2.0,5.0,139.0,0.0,2.0,2.0,18.0,17.0,12.0,68.0,1.0,15.0,2.0,0.0,27.0,10.0,15.0,20.0,52.0,16.0,10.0,448,32,10.0,13.0,12.0,2.0,8.0,21.0,2.0,391,25.0,4.0,16.0,22.0,35.0,20.0,15.0,9.0,0.0,3.0,23.0,34.0,16.0,6.0,26.0,0.0,1.0,5.0,12.0,26.0,4.0,3.0,0.0,3.0,0.0,120,40.0,6.0,5.0,2.0,137.0,5.0,7.0,29.0
meeting,99,25.0,2.0,12.0,9.0,6.0,6.0,13.0,14.0,8.0,408,4.0,1.0,1.0,1.0,17.0,17.0,22.0,19.0,6.0,17.0,7.0,0.0,7.0,6.0,15.0,11.0,15.0,9.0,38,0.0,33.0,13.0,7.0,16.0,1.0,15.0,157.0,0.0,3.0,15.0,22.0,29.0,5.0,93.0,1.0,10.0,5.0,27.0,0.0,4.0,75.0,29.0,17.0,8.0,17.0,628,50,15.0,13.0,30.0,2.0,4.0,6.0,9.0,561,17.0,10.0,34.0,9.0,84.0,14.0,22.0,6.0,0.0,8.0,54.0,65.0,7.0,25.0,17.0,0.0,1.0,5.0,8.0,17.0,17.0,12.0,4.0,2.0,0.0,201,28.0,2.0,10.0,3.0,159.0,2.0,9.0,10.0
michelle,91,18.0,1.0,31.0,1.0,10.0,9.0,2.0,1.0,6.0,199,0.0,1.0,0.0,4.0,8.0,2.0,0.0,10.0,0.0,0.0,5.0,0.0,17.0,2.0,8.0,4.0,2.0,23.0,476,0.0,1.0,0.0,8.0,9.0,0.0,7.0,114.0,1.0,2.0,0.0,0.0,24.0,7.0,2.0,7.0,15.0,2.0,10.0,4.0,0.0,15.0,34.0,17.0,2.0,2.0,706,76,53.0,3.0,0.0,0.0,2.0,8.0,1.0,236,4.0,1.0,0.0,10.0,0.0,0.0,2.0,18.0,1.0,18.0,55.0,9.0,8.0,0.0,8.0,3.0,1.0,0.0,0.0,25.0,7.0,12.0,1.0,17.0,1.0,79,22.0,1.0,3.0,8.0,117.0,7.0,19.0,24.0
national,150,39.0,14.0,27.0,46.0,20.0,35.0,8.0,34.0,3.0,511,3.0,1.0,4.0,3.0,36.0,17.0,15.0,13.0,17.0,23.0,6.0,8.0,9.0,4.0,19.0,21.0,26.0,21.0,63,4.0,39.0,5.0,11.0,17.0,0.0,15.0,104.0,5.0,2.0,24.0,41.0,32.0,18.0,11.0,2.0,22.0,3.0,15.0,75.0,15.0,0.0,88.0,14.0,2.0,2.0,784,105,54.0,9.0,10.0,1.0,16.0,16.0,16.0,706,15.0,6.0,2.0,45.0,278.0,1.0,13.0,6.0,0.0,22.0,81.0,14.0,5.0,11.0,11.0,0.0,1.0,6.0,8.0,12.0,0.0,19.0,5.0,15.0,0.0,156,50.0,4.0,10.0,2.0,106.0,15.0,8.0,35.0
new,337,48.0,34.0,44.0,277.0,28.0,35.0,4.0,22.0,37.0,766,42.0,5.0,70.0,29.0,50.0,37.0,31.0,51.0,71.0,53.0,45.0,5.0,45.0,37.0,44.0,87.0,40.0,47.0,117,12.0,144.0,18.0,53.0,50.0,4.0,24.0,167.0,13.0,25.0,23.0,37.0,70.0,73.0,22.0,15.0,47.0,8.0,20.0,29.0,34.0,88.0,0.0,61.0,20.0,39.0,1432,278,60.0,4.0,14.0,1.0,72.0,48.0,30.0,1152,50.0,23.0,18.0,67.0,46.0,21.0,9.0,22.0,3.0,32.0,91.0,13.0,41.0,18.0,54.0,42.0,3.0,12.0,64.0,20.0,14.0,41.0,12.0,23.0,0.0,315,47.0,19.0,15.0,3.0,152.0,3.0,26.0,87.0
next,136,10.0,5.0,22.0,38.0,9.0,12.0,2.0,3.0,12.0,426,8.0,2.0,42.0,0.0,35.0,23.0,27.0,41.0,44.0,6.0,38.0,1.0,51.0,9.0,13.0,16.0,11.0,21.0,92,6.0,13.0,1.0,12.0,37.0,17.0,25.0,133.0,2.0,3.0,9.0,24.0,22.0,7.0,65.0,5.0,47.0,5.0,52.0,17.0,17.0,14.0,61.0,0.0,31.0,13.0,608,65,31.0,1.0,18.0,1.0,28.0,38.0,17.0,562,23.0,15.0,11.0,36.0,24.0,29.0,2.0,17.0,0.0,19.0,46.0,54.0,36.0,7.0,21.0,11.0,0.0,2.0,11.0,40.0,7.0,17.0,0.0,30.0,0.0,213,128.0,6.0,16.0,3.0,133.0,4.0,22.0,100.0
nominee,133,8.0,0.0,1.0,20.0,6.0,2.0,3.0,2.0,13.0,326,0.0,1.0,0.0,3.0,41.0,1.0,3.0,59.0,10.0,4.0,281.0,2.0,2.0,0.0,117.0,0.0,8.0,1.0,27,46.0,1.0,1.0,10.0,58.0,0.0,0.0,41.0,5.0,0.0,2.0,1.0,10.0,19.0,31.0,3.0,8.0,2.0,16.0,8.0,2.0,2.0,20.0,31.0,0.0,1.0,433,123,6.0,5.0,0.0,29.0,9.0,4.0,0.0,480,160.0,110.0,13.0,25.0,2.0,150.0,3.0,4.0,1.0,7.0,6.0,1.0,281.0,0.0,5.0,0.0,1.0,0.0,2.0,2.0,0.0,107.0,14.0,2.0,0.0,78,7.0,3.0,0.0,0.0,45.0,7.0,11.0,12.0
nuclear,86,6.0,3.0,6.0,42.0,2.0,9.0,31.0,2.0,5.0,277,0.0,0.0,1.0,1.0,0.0,8.0,9.0,2.0,6.0,1.0,1.0,0.0,2.0,101.0,24.0,5.0,11.0,10.0,70,1.0,1.0,1.0,9.0,1.0,69.0,21.0,44.0,0.0,127.0,9.0,18.0,47.0,7.0,46.0,4.0,10.0,1.0,10.0,17.0,2.0,2.0,39.0,13.0,1.0,0.0,434,56,12.0,0.0,6.0,0.0,2.0,4.0,23.0,360,9.0,2.0,0.0,19.0,99.0,1.0,5.0,9.0,1.0,9.0,18.0,95.0,1.0,4.0,11.0,0.0,1.0,2.0,3.0,10.0,2.0,17.0,14.0,0.0,0.0,149,66.0,1.0,18.0,0.0,43.0,4.0,99.0,19.0
obama,3754,625.0,233.0,727.0,2142.0,339.0,570.0,292.0,361.0,396.0,11455,299.0,61.0,252.0,137.0,595.0,457.0,475.0,702.0,683.0,314.0,818.0,109.0,481.0,301.0,802.0,461.0,421.0,661.0,1670,193.0,635.0,146.0,428.0,639.0,246.0,317.0,2465.0,139.0,261.0,316.0,656.0,941.0,453.0,662.0,154.0,540.0,116.0,448.0,628.0,706.0,784.0,1432.0,608.0,433.0,434.0,0,603,1033.0,248.0,453.0,82.0,372.0,331.0,350.0,16368,836.0,555.0,261.0,816.0,601.0,445.0,425.0,310.0,31.0,460.0,1484.0,482.0,725.0,363.0,386.0,172.0,45.0,212.0,336.0,374.0,184.0,823.0,197.0,566.0,24.0,4298,1109.0,198.0,359.0,96.0,2412.0,142.0,603.0,738.0
obamas,569,65.0,87.0,200.0,182.0,54.0,78.0,30.0,39.0,49.0,1736,57.0,16.0,102.0,17.0,131.0,80.0,72.0,119.0,118.0,88.0,247.0,26.0,106.0,56.0,111.0,226.0,39.0,171.0,261,47.0,180.0,55.0,48.0,109.0,58.0,84.0,321.0,94.0,40.0,65.0,96.0,188.0,54.0,53.0,75.0,60.0,17.0,32.0,50.0,76.0,105.0,278.0,65.0,123.0,56.0,603,0,228.0,11.0,42.0,29.0,184.0,52.0,132.0,2862,169.0,106.0,59.0,93.0,96.0,137.0,20.0,50.0,4.0,184.0,294.0,35.0,243.0,44.0,56.0,30.0,4.0,33.0,48.0,118.0,11.0,126.0,28.0,162.0,1.0,513,317.0,13.0,61.0,20.0,274.0,17.0,69.0,146.0
one,240,43.0,9.0,51.0,63.0,23.0,35.0,16.0,25.0,17.0,610,12.0,3.0,14.0,8.0,37.0,31.0,31.0,33.0,44.0,19.0,38.0,7.0,41.0,14.0,39.0,18.0,16.0,56.0,119,14.0,35.0,6.0,19.0,34.0,7.0,26.0,140.0,7.0,18.0,10.0,23.0,97.0,12.0,18.0,14.0,37.0,9.0,10.0,15.0,53.0,54.0,60.0,31.0,6.0,12.0,1033,228,0.0,6.0,22.0,2.0,20.0,9.0,32.0,871,31.0,31.0,16.0,26.0,25.0,16.0,13.0,17.0,0.0,40.0,84.0,15.0,34.0,11.0,23.0,11.0,6.0,9.0,16.0,34.0,11.0,47.0,10.0,43.0,0.0,180,63.0,9.0,24.0,13.0,143.0,8.0,40.0,62.0
orlando,49,5.0,2.0,5.0,11.0,3.0,12.0,42.0,8.0,0.0,141,1.0,0.0,0.0,5.0,5.0,0.0,0.0,8.0,5.0,20.0,0.0,0.0,0.0,0.0,21.0,0.0,3.0,0.0,6,1.0,29.0,4.0,1.0,10.0,0.0,0.0,32.0,0.0,0.0,4.0,7.0,12.0,1.0,0.0,1.0,4.0,2.0,13.0,13.0,3.0,9.0,4.0,1.0,5.0,0.0,248,11,6.0,0.0,0.0,0.0,0.0,0.0,0.0,222,13.0,0.0,0.0,11.0,11.0,4.0,118.0,1.0,0.0,2.0,5.0,0.0,0.0,1.0,6.0,0.0,1.0,16.0,0.0,0.0,0.0,23.0,6.0,0.0,0.0,38,7.0,0.0,1.0,0.0,36.0,1.0,3.0,0.0
paris,98,1.0,26.0,3.0,12.0,8.0,11.0,12.0,179.0,8.0,289,0.0,0.0,0.0,3.0,21.0,99.0,222.0,0.0,9.0,1.0,0.0,1.0,3.0,29.0,0.0,0.0,21.0,10.0,19,4.0,2.0,0.0,6.0,0.0,0.0,13.0,37.0,0.0,9.0,34.0,57.0,29.0,5.0,52.0,12.0,8.0,5.0,12.0,30.0,0.0,10.0,14.0,18.0,0.0,6.0,453,42,22.0,0.0,0.0,0.0,4.0,5.0,16.0,413,6.0,19.0,0.0,6.0,17.0,4.0,2.0,7.0,0.0,9.0,57.0,58.0,0.0,20.0,8.0,0.0,1.0,32.0,3.0,13.0,0.0,1.0,0.0,0.0,0.0,126,19.0,12.0,16.0,0.0,43.0,3.0,64.0,11.0
pick,23,2.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,61,1.0,0.0,0.0,0.0,6.0,1.0,1.0,2.0,2.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,3.0,0.0,0.0,1.0,2.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,5.0,3.0,1.0,0.0,5.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,29.0,0.0,82,29,2.0,0.0,0.0,0.0,3.0,0.0,0.0,93,7.0,17.0,2.0,4.0,1.0,25.0,0.0,0.0,0.0,1.0,2.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17,0.0,2.0,1.0,0.0,16.0,0.0,1.0,5.0
plan,83,13.0,21.0,18.0,85.0,7.0,11.0,2.0,6.0,11.0,214,10.0,0.0,45.0,3.0,9.0,16.0,17.0,4.0,63.0,17.0,70.0,3.0,25.0,9.0,8.0,23.0,11.0,29.0,16,4.0,28.0,16.0,24.0,4.0,1.0,0.0,48.0,25.0,4.0,14.0,13.0,29.0,9.0,8.0,3.0,24.0,2.0,8.0,4.0,2.0,16.0,72.0,28.0,9.0,2.0,372,184,20.0,0.0,4.0,3.0,0.0,14.0,7.0,352,25.0,21.0,3.0,12.0,9.0,17.0,0.0,4.0,0.0,5.0,16.0,0.0,70.0,10.0,9.0,12.0,1.0,5.0,0.0,5.0,2.0,7.0,4.0,1.0,1.0,121,7.0,1.0,10.0,1.0,43.0,3.0,3.0,36.0
plans,59,8.0,5.0,20.0,64.0,8.0,5.0,1.0,4.0,15.0,173,0.0,0.0,13.0,2.0,10.0,6.0,7.0,10.0,20.0,14.0,16.0,3.0,13.0,4.0,8.0,18.0,4.0,12.0,28,4.0,32.0,0.0,9.0,10.0,11.0,9.0,59.0,4.0,2.0,4.0,14.0,6.0,7.0,24.0,3.0,26.0,1.0,21.0,6.0,8.0,16.0,48.0,38.0,4.0,4.0,331,52,9.0,0.0,5.0,0.0,14.0,0.0,3.0,260,25.0,12.0,5.0,16.0,6.0,6.0,6.0,8.0,0.0,6.0,20.0,14.0,21.0,10.0,18.0,8.0,0.0,7.0,5.0,11.0,3.0,5.0,3.0,9.0,0.0,56,37.0,1.0,9.0,0.0,56.0,2.0,4.0,18.0
policy,74,8.0,7.0,10.0,48.0,5.0,5.0,0.0,17.0,12.0,187,12.0,0.0,11.0,1.0,13.0,21.0,18.0,15.0,22.0,2.0,8.0,5.0,25.0,14.0,20.0,9.0,12.0,15.0,20,5.0,6.0,1.0,3.0,11.0,3.0,4.0,35.0,17.0,20.0,16.0,12.0,26.0,11.0,9.0,13.0,12.0,5.0,2.0,9.0,1.0,16.0,30.0,17.0,0.0,23.0,350,132,32.0,0.0,16.0,0.0,7.0,3.0,0.0,275,19.0,7.0,3.0,9.0,21.0,1.0,1.0,3.0,0.0,12.0,26.0,7.0,8.0,22.0,4.0,8.0,1.0,3.0,4.0,9.0,3.0,18.0,12.0,6.0,0.0,113,24.0,2.0,14.0,2.0,33.0,0.0,22.0,26.0
president,3457,514.0,237.0,741.0,500.0,293.0,510.0,263.0,338.0,291.0,11355,285.0,50.0,268.0,94.0,511.0,397.0,429.0,542.0,623.0,314.0,835.0,102.0,457.0,224.0,767.0,522.0,373.0,650.0,1277,177.0,643.0,149.0,377.0,563.0,256.0,346.0,2212.0,162.0,152.0,279.0,626.0,742.0,378.0,606.0,161.0,434.0,85.0,391.0,561.0,236.0,706.0,1152.0,562.0,480.0,360.0,16368,2862,871.0,222.0,413.0,93.0,352.0,260.0,275.0,0,804.0,504.0,223.0,669.0,543.0,461.0,390.0,264.0,25.0,460.0,1378.0,423.0,804.0,308.0,312.0,147.0,35.0,207.0,298.0,379.0,158.0,694.0,163.0,581.0,16.0,4049,1157.0,149.0,318.0,78.0,2128.0,118.0,529.0,633.0
republican,200,35.0,7.0,33.0,38.0,24.0,24.0,15.0,19.0,21.0,538,13.0,1.0,18.0,15.0,88.0,6.0,15.0,33.0,32.0,14.0,82.0,41.0,8.0,12.0,370.0,22.0,15.0,39.0,48,49.0,19.0,18.0,7.0,34.0,0.0,1.0,100.0,13.0,5.0,11.0,25.0,21.0,10.0,84.0,11.0,16.0,3.0,25.0,17.0,4.0,15.0,50.0,23.0,160.0,9.0,836,169,31.0,13.0,6.0,7.0,25.0,25.0,19.0,804,0.0,28.0,11.0,32.0,11.0,63.0,7.0,16.0,2.0,37.0,62.0,6.0,81.0,2.0,15.0,9.0,5.0,12.0,8.0,14.0,3.0,339.0,55.0,28.0,0.0,150,16.0,6.0,5.0,2.0,80.0,18.0,21.0,40.0
republicans,136,16.0,6.0,14.0,31.0,6.0,14.0,4.0,10.0,15.0,316,10.0,0.0,14.0,6.0,11.0,10.0,16.0,15.0,41.0,9.0,170.0,5.0,0.0,14.0,37.0,24.0,40.0,18.0,20,28.0,13.0,0.0,15.0,17.0,0.0,1.0,85.0,7.0,8.0,3.0,7.0,13.0,28.0,9.0,3.0,17.0,3.0,4.0,10.0,1.0,6.0,23.0,15.0,110.0,2.0,555,106,31.0,0.0,19.0,17.0,21.0,12.0,7.0,504,28.0,0.0,0.0,22.0,9.0,175.0,1.0,5.0,0.0,3.0,25.0,3.0,178.0,1.0,14.0,4.0,0.0,6.0,3.0,1.0,1.0,36.0,8.0,12.0,0.0,67,1.0,2.0,3.0,1.0,66.0,11.0,2.0,21.0
sanders,45,9.0,0.0,1.0,12.0,2.0,0.0,1.0,3.0,3.0,155,5.0,0.0,1.0,4.0,36.0,0.0,0.0,124.0,2.0,2.0,1.0,1.0,0.0,1.0,22.0,2.0,7.0,4.0,9,1.0,4.0,8.0,1.0,107.0,0.0,5.0,54.0,1.0,0.0,1.0,0.0,12.0,2.0,1.0,3.0,0.0,3.0,16.0,34.0,0.0,2.0,18.0,11.0,13.0,0.0,261,59,16.0,0.0,0.0,2.0,3.0,5.0,3.0,223,11.0,0.0,0.0,10.0,4.0,2.0,0.0,7.0,0.0,1.0,9.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0,24.0,1.0,1.0,0.0,24,1.0,3.0,0.0,2.0,55.0,4.0,3.0,3.0
